campaign_name,start_date,end_date,budget
"Brew Your Passion, Perfect Your Craft! Campaign",2024-04-16,2024-08-24,45140.0
"Craft Your Own Beer, One Kit at a Time! Campaign",2023-10-15,2024-09-30,39058.0
From Grain to Glass—Brew Like a Master! Campaign,2024-06-29,2024-07-29,28897.0
Unleash Your Inner Brewer with Our Premium Kits! Campaign,2024-09-22,2024-09-25,5806.0
"Brew Bold, Brew Better with BrewMasters! Campaign",2024-09-29,2024-10-04,5186.0
Your Homebrew Journey Starts Here! Campaign,2024-02-14,2024-08-25,38012.0
"Fresh Ingredients, Perfect Brews—Every Time! Campaign",2024-07-12,2024-08-12,15182.0
Brew Like a Pro—Right in Your Kitchen! Campaign,2024-03-14,2024-06-24,44464.0
Tap into the Art of Home Brewing! Campaign,2024-03-21,2024-06-27,19044.0
Master the Craft of Beer Making with BrewMasters! Campaign,2024-05-29,2024-09-11,9622.0
